Product Name,Price (INR),Rating,Reviews,Offer
The Art of Being Alone: Loneliness Was My Cage,192,4.4,"3,012","3,012"
101 Essays That Will Change The Way You Think (English),361,4.3,"17,163",361
The Psychology of Money,270,4.6,"72,270",270
Never Lie : A Totally Gripping Thriller with Mind-bending Twists,376,4.3,"2,43,774",376
The Housemaid : An addictive psychological thriller with mind-bending twists,338,4.4,"4,78,763",338
I Hear You: Most expectant mothers talk to their unborn. But what if the unborn starts to respond? | A psychological thriller with jaw-dropping twists.,150,4.4,556,150
Attitude is Everything change your attitude change your life!,146,4.5,"25,972",146
Meditations,119,4.3,"3,707",119
Stop Overthinking 23 Techniques to Relieve Stress Stop Negative Spirals Declutter Your Mind and Focus on the Present,169,4.3,"12,306",169
How to Kill Men and Get Away With It: A deliciously dark,319,4,"6,634",319
The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery (English),251,4.4,"22,470",251
The Art of Dealing With People,125,4.4,"1,211",125
Read People Like a Book: How to Analyze,289,4.3,"6,134",289
Dark Psychology and Manipulation: Dark Psychology and Manipulation: Discover 40 Covert Emotional Manipulation Techniques,1786,4.3,"1,210",1786
The Unknown Woman (An Aria Brandt Psychological Thriller—Book One),89,3.9,694,0
Don't Believe Everything You Think (English),190,4.5,"11,076",190
Dark Psychology Secrets & Manipulation,169,4.2,902,169
The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback,149,4.5,"50,561",149
Psychopathology of Everyday Life by Sigmund Freud [Premium Paperback] Introduction to Psychology | Discover the Power of Subconscious Mind | Human Psychology Books | Author of Interpretation of Dreams,159,4.8,45,159
Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,195,4.4,"14,174",195
Psychological Triggers: The Hidden Influences Behind Our Actions,280,4.4,505,280
Metamorphosis by Franz Kafka [Premium Paperback]: An Unsettling Exploration of Identity and Alienation | Existential Literature |Classic Literature| Psychological Fiction| Metaphorical Allegory,99,4.4,455,99
Memory: How to Develop,110,4.2,"7,149",110
Shaolin: How To Win Without Fighting (English),309,4.5,158,309
The Psychology of Money,270,4.6,"72,270",270
Never Lie : A Totally Gripping Thriller with Mind-bending Twists,376,4.3,"2,43,774",376
The Housemaid : An addictive psychological thriller with mind-bending twists,338,4.4,"4,78,763",338
I Hear You: Most expectant mothers talk to their unborn. But what if the unborn starts to respond? | A psychological thriller with jaw-dropping twists.,150,4.4,556,150
Attitude is Everything change your attitude change your life!,146,4.5,"25,972",146
Meditations,119,4.3,"3,707",119
Stop Overthinking 23 Techniques to Relieve Stress Stop Negative Spirals Declutter Your Mind and Focus on the Present,169,4.3,"12,306",169
How to Kill Men and Get Away With It: A deliciously dark,319,4,"6,634",319
101 Essays That Will Change The Way You Think (English),361,4.3,"17,163",361
The Art of Dealing With People,125,4.4,"1,211",125
The Unknown Woman (An Aria Brandt Psychological Thriller—Book One),705,3.9,694,0
Don't Believe Everything You Think (English),190,4.5,"11,076",190
Dark Psychology Secrets & Manipulation,169,4.2,902,169
The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback,149,4.5,"50,561",149
Psychopathology of Everyday Life by Sigmund Freud [Premium Paperback] Introduction to Psychology | Discover the Power of Subconscious Mind | Human Psychology Books | Author of Interpretation of Dreams,159,4.8,45,159
Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,195,4.4,"14,174",195
Psychological Triggers: The Hidden Influences Behind Our Actions,280,4.4,505,280
Metamorphosis by Franz Kafka [Premium Paperback]: An Unsettling Exploration of Identity and Alienation | Existential Literature |Classic Literature| Psychological Fiction| Metaphorical Allegory,99,4.4,455,99
The Psychology of Money,270,4.6,"72,270",270
Never Lie : A Totally Gripping Thriller with Mind-bending Twists,376,4.3,"2,43,774",376
The Housemaid : An addictive psychological thriller with mind-bending twists,338,4.4,"4,78,763",338
Attitude is Everything change your attitude change your life!,146,4.5,"25,972",146
I Hear You: Most expectant mothers talk to their unborn. But what if the unborn starts to respond? | A psychological thriller with jaw-dropping twists.,150,4.4,556,150
Meditations,119,4.3,"3,707",119
Stop Overthinking 23 Techniques to Relieve Stress Stop Negative Spirals Declutter Your Mind and Focus on the Present,169,4.3,"12,306",169
How to Kill Men and Get Away With It: A deliciously dark,319,4,"6,634",319
Dark Psychology and Manipulation: Dark Psychology and Manipulation: Discover 40 Covert Emotional Manipulation Techniques,1786,4.3,"1,210",1786
The Overthinking Cure: How To Stay In The Present,203,4.2,357,203
The Unknown Woman (An Aria Brandt Psychological Thriller—Book One),450,3.9,694,0
Don't Believe Everything You Think (English),190,4.5,"11,076",190
Dark Psychology Secrets & Manipulation,169,4.2,902,169
The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback,149,4.5,"50,561",149
Psychopathology of Everyday Life by Sigmund Freud [Premium Paperback] Introduction to Psychology | Discover the Power of Subconscious Mind | Human Psychology Books | Author of Interpretation of Dreams,159,4.8,45,159
Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,195,4.4,"14,174",195
Psychological Triggers: The Hidden Influences Behind Our Actions,280,4.4,505,280
Metamorphosis by Franz Kafka [Premium Paperback]: An Unsettling Exploration of Identity and Alienation | Existential Literature |Classic Literature| Psychological Fiction| Metaphorical Allegory,99,4.4,455,99
101 Essays That Will Change The Way You Think (English),361,4.3,"17,163",361
Beyond Good And Evil,169,4.4,"4,890",169
The Psychology of Money,270,4.6,"72,270",270
Never Lie : A Totally Gripping Thriller with Mind-bending Twists,376,4.3,"2,43,774",376
The Housemaid : An addictive psychological thriller with mind-bending twists,338,4.4,"4,78,763",338
Attitude is Everything change your attitude change your life!,146,4.5,"25,972",146
I Hear You: Most expectant mothers talk to their unborn. But what if the unborn starts to respond? | A psychological thriller with jaw-dropping twists.,150,4.4,556,150
Meditations,119,4.3,"3,707",119
Stop Overthinking 23 Techniques to Relieve Stress Stop Negative Spirals Declutter Your Mind and Focus on the Present,169,4.3,"12,306",169
How to Kill Men and Get Away With It: A deliciously dark,319,4,"6,634",319
The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery (English),251,4.4,"22,470",251
The Power of Emotional Marketing - Brands That Resonate by Bhuvana Subramanyan | 40+ Exclusive Marketing Tools & Templates | 100+ Real-World Case Studies & Examples | ZebraLearn Books,1490,4.2,19,1490
Dark Psychology and Manipulation: Dark Psychology and Manipulation: Discover 40 Covert Emotional Manipulation Techniques,1786,4.3,"1,210",1786
The Overthinking Cure: How To Stay In The Present,203,4.2,357,203
The Unknown Woman (An Aria Brandt Psychological Thriller—Book One),607,3.9,694,0
Don't Believe Everything You Think (English),190,4.5,"11,076",190
Dark Psychology Secrets & Manipulation,169,4.2,902,169
The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback,149,4.5,"50,561",149
Psychopathology of Everyday Life by Sigmund Freud [Premium Paperback] Introduction to Psychology | Discover the Power of Subconscious Mind | Human Psychology Books | Author of Interpretation of Dreams,159,4.8,45,159
Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,195,4.4,"14,174",195
Psychological Triggers: The Hidden Influences Behind Our Actions,280,4.4,505,280
Metamorphosis by Franz Kafka [Premium Paperback]: An Unsettling Exploration of Identity and Alienation | Existential Literature |Classic Literature| Psychological Fiction| Metaphorical Allegory,99,4.4,455,99
101 Essays That Will Change The Way You Think (English),361,4.3,"17,163",361
Leadership and Management Strategy Collection - The Prince,399,4.4,71,399
The Psychology of Money,270,4.6,"72,270",270
Never Lie : A Totally Gripping Thriller with Mind-bending Twists,376,4.3,"2,43,774",376
The Housemaid : An addictive psychological thriller with mind-bending twists,338,4.4,"4,78,763",338
Attitude is Everything change your attitude change your life!,146,4.5,"25,972",146
I Hear You: Most expectant mothers talk to their unborn. But what if the unborn starts to respond? | A psychological thriller with jaw-dropping twists.,150,4.4,556,150
Meditations,119,4.3,"3,707",119
Stop Overthinking 23 Techniques to Relieve Stress Stop Negative Spirals Declutter Your Mind and Focus on the Present,169,4.3,"12,306",169
How to Kill Men and Get Away With It: A deliciously dark,319,4,"6,634",319
The Art of Dealing With People,125,4.4,"1,211",125
Read People Like a Book: How to Analyze,289,4.3,"6,134",289
Dark Psychology and Manipulation: Dark Psychology and Manipulation: Discover 40 Covert Emotional Manipulation Techniques,1786,4.3,"1,210",1786
The Overthinking Cure: How To Stay In The Present,203,4.2,357,203
The Unknown Woman (An Aria Brandt Psychological Thriller—Book One),560,3.9,694,0
Don't Believe Everything You Think (English),190,4.5,"11,076",190
Dark Psychology Secrets & Manipulation,169,4.2,902,169
The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback,149,4.5,"50,561",149
Psychopathology of Everyday Life by Sigmund Freud [Premium Paperback] Introduction to Psychology | Discover the Power of Subconscious Mind | Human Psychology Books | Author of Interpretation of Dreams,159,4.8,45,159
Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,195,4.4,"14,174",195
Psychological Triggers: The Hidden Influences Behind Our Actions,280,4.4,505,280
Metamorphosis by Franz Kafka [Premium Paperback]: An Unsettling Exploration of Identity and Alienation | Existential Literature |Classic Literature| Psychological Fiction| Metaphorical Allegory,99,4.4,455,99
Greatest Works of William Shakespeare (Boxed Set of 10) - Hamlet,799,4.4,208,799
The Game of Death,239,4.5,268,239
The Psychology of Money,270,4.6,"72,270",270
Never Lie : A Totally Gripping Thriller with Mind-bending Twists,376,4.3,"2,43,774",376
The Housemaid : An addictive psychological thriller with mind-bending twists,338,4.4,"4,78,763",338
Attitude is Everything change your attitude change your life!,146,4.5,"25,972",146
I Hear You: Most expectant mothers talk to their unborn. But what if the unborn starts to respond? | A psychological thriller with jaw-dropping twists.,150,4.4,556,150
Meditations,119,4.3,"3,707",119
Stop Overthinking 23 Techniques to Relieve Stress Stop Negative Spirals Declutter Your Mind and Focus on the Present,169,4.3,"12,306",169
How to Kill Men and Get Away With It: A deliciously dark,319,4,"6,634",319
The Complete Guide to Stoicism (Deluxe Hardbound Edition),609,4.7,29,609
One Day,179,4.4,"3,059",179
Dark Psychology and Manipulation: Dark Psychology and Manipulation: Discover 40 Covert Emotional Manipulation Techniques,1786,4.3,"1,210",1786
The Overthinking Cure: How To Stay In The Present,203,4.2,357,203
The Unknown Woman (An Aria Brandt Psychological Thriller—Book One),345,3.9,694,0
Don't Believe Everything You Think (English),190,4.5,"11,076",190
Dark Psychology Secrets & Manipulation,169,4.2,902,169
The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback,149,4.5,"50,561",149
Psychopathology of Everyday Life by Sigmund Freud [Premium Paperback] Introduction to Psychology | Discover the Power of Subconscious Mind | Human Psychology Books | Author of Interpretation of Dreams,159,4.8,45,159
Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,195,4.4,"14,174",195
Psychological Triggers: The Hidden Influences Behind Our Actions,280,4.4,505,280
Metamorphosis by Franz Kafka [Premium Paperback]: An Unsettling Exploration of Identity and Alienation | Existential Literature |Classic Literature| Psychological Fiction| Metaphorical Allegory,99,4.4,455,99
101 Essays That Will Change The Way You Think (English),361,4.3,"17,163",361
Beyond Good And Evil,169,4.4,"4,890",169
The Psychology of Money,270,4.6,"72,270",270
Never Lie : A Totally Gripping Thriller with Mind-bending Twists,376,4.3,"2,43,774",376
The Housemaid : An addictive psychological thriller with mind-bending twists,338,4.4,"4,78,763",338
Attitude is Everything change your attitude change your life!,146,4.5,"25,972",146
I Hear You: Most expectant mothers talk to their unborn. But what if the unborn starts to respond? | A psychological thriller with jaw-dropping twists.,150,4.4,556,150
Meditations,119,4.3,"3,707",119
Stop Overthinking 23 Techniques to Relieve Stress Stop Negative Spirals Declutter Your Mind and Focus on the Present,169,4.3,"12,306",169
How to Kill Men and Get Away With It: A deliciously dark,319,4,"6,634",319
The Power of Emotional Marketing - Brands That Resonate by Bhuvana Subramanyan | 40+ Exclusive Marketing Tools & Templates | 100+ Real-World Case Studies & Examples | ZebraLearn Books,1490,4.2,19,1490
One Day,179,4.4,"3,059",179
The Unknown Woman (An Aria Brandt Psychological Thriller—Book One),480,3.9,694,0
Don't Believe Everything You Think (English),190,4.5,"11,076",190
Dark Psychology Secrets & Manipulation,169,4.2,902,169
The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback,149,4.5,"50,561",149
Psychopathology of Everyday Life by Sigmund Freud [Premium Paperback] Introduction to Psychology | Discover the Power of Subconscious Mind | Human Psychology Books | Author of Interpretation of Dreams,159,4.8,45,159
Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,195,4.4,"14,174",195
Psychological Triggers: The Hidden Influences Behind Our Actions,280,4.4,505,280
Metamorphosis by Franz Kafka [Premium Paperback]: An Unsettling Exploration of Identity and Alienation | Existential Literature |Classic Literature| Psychological Fiction| Metaphorical Allegory,99,4.4,455,99
The Psychology of Money,270,4.6,"72,270",270
Never Lie : A Totally Gripping Thriller with Mind-bending Twists,376,4.3,"2,43,774",376
The Housemaid : An addictive psychological thriller with mind-bending twists,338,4.4,"4,78,763",338
I Hear You: Most expectant mothers talk to their unborn. But what if the unborn starts to respond? | A psychological thriller with jaw-dropping twists.,150,4.4,556,150
Attitude is Everything change your attitude change your life!,146,4.5,"25,972",146
Meditations,119,4.3,"3,707",119
Stop Overthinking 23 Techniques to Relieve Stress Stop Negative Spirals Declutter Your Mind and Focus on the Present,169,4.3,"12,306",169
How to Kill Men and Get Away With It: A deliciously dark,319,4,"6,634",319
The Unknown Woman (An Aria Brandt Psychological Thriller—Book One),304,3.9,694,0
Don't Believe Everything You Think (English),190,4.5,"11,076",190
Dark Psychology Secrets & Manipulation,169,4.2,902,169
The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback,149,4.5,"50,561",149
Psychopathology of Everyday Life by Sigmund Freud [Premium Paperback] Introduction to Psychology | Discover the Power of Subconscious Mind | Human Psychology Books | Author of Interpretation of Dreams,159,4.8,45,159
Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,195,4.4,"14,174",195
Psychological Triggers: The Hidden Influences Behind Our Actions,280,4.4,505,280
Metamorphosis by Franz Kafka [Premium Paperback]: An Unsettling Exploration of Identity and Alienation | Existential Literature |Classic Literature| Psychological Fiction| Metaphorical Allegory,99,4.4,455,99
The Psychology of Money,270,4.6,"72,270",270
Never Lie : A Totally Gripping Thriller with Mind-bending Twists,376,4.3,"2,43,774",376
The Housemaid : An addictive psychological thriller with mind-bending twists,338,4.4,"4,78,763",338
I Hear You: Most expectant mothers talk to their unborn. But what if the unborn starts to respond? | A psychological thriller with jaw-dropping twists.,150,4.4,556,150
Attitude is Everything change your attitude change your life!,146,4.5,"25,972",146
Meditations,119,4.3,"3,707",119
Stop Overthinking 23 Techniques to Relieve Stress Stop Negative Spirals Declutter Your Mind and Focus on the Present,169,4.3,"12,306",169
How to Kill Men and Get Away With It: A deliciously dark,319,4,"6,634",319
The Unknown Woman (An Aria Brandt Psychological Thriller—Book One),0,3.9,694,0
Don't Believe Everything You Think (English),190,4.5,"11,076",190
Dark Psychology Secrets & Manipulation,169,4.2,902,169
The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback,149,4.5,"50,561",149
Psychopathology of Everyday Life by Sigmund Freud [Premium Paperback] Introduction to Psychology | Discover the Power of Subconscious Mind | Human Psychology Books | Author of Interpretation of Dreams,159,4.8,45,159
Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,195,4.4,"14,174",195
Psychological Triggers: The Hidden Influences Behind Our Actions,280,4.4,505,280
Metamorphosis by Franz Kafka [Premium Paperback]: An Unsettling Exploration of Identity and Alienation | Existential Literature |Classic Literature| Psychological Fiction| Metaphorical Allegory,99,4.4,455,99
The Psychology of Money,270,4.6,"72,270",270
Never Lie : A Totally Gripping Thriller with Mind-bending Twists,376,4.3,"2,43,774",376
The Housemaid : An addictive psychological thriller with mind-bending twists,338,4.4,"4,78,763",338
Attitude is Everything change your attitude change your life!,146,4.5,"25,972",146
I Hear You: Most expectant mothers talk to their unborn. But what if the unborn starts to respond? | A psychological thriller with jaw-dropping twists.,150,4.4,556,150
Meditations,119,4.3,"3,707",119
Stop Overthinking 23 Techniques to Relieve Stress Stop Negative Spirals Declutter Your Mind and Focus on the Present,169,4.3,"12,306",169
How to Kill Men and Get Away With It: A deliciously dark,319,4,"6,634",319
Dark Psychology and Manipulation: Dark Psychology and Manipulation: Discover 40 Covert Emotional Manipulation Techniques,1786,4.3,"1,210",1786
The Overthinking Cure: How To Stay In The Present,203,4.2,357,203
The Unknown Woman (An Aria Brandt Psychological Thriller—Book One),607,3.9,694,0
Don't Believe Everything You Think (English),190,4.5,"11,076",190
Dark Psychology Secrets & Manipulation,169,4.2,902,169
The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback,149,4.5,"50,561",149
Psychopathology of Everyday Life by Sigmund Freud [Premium Paperback] Introduction to Psychology | Discover the Power of Subconscious Mind | Human Psychology Books | Author of Interpretation of Dreams,159,4.8,45,159
Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,195,4.4,"14,174",195
Psychological Triggers: The Hidden Influences Behind Our Actions,280,4.4,505,280
Metamorphosis by Franz Kafka [Premium Paperback]: An Unsettling Exploration of Identity and Alienation | Existential Literature |Classic Literature| Psychological Fiction| Metaphorical Allegory,99,4.4,455,99
101 Essays That Will Change The Way You Think (English),361,4.3,"17,163",361
Beyond Good And Evil,169,4.4,"4,890",169
The Psychology of Money,270,4.6,"72,270",270
Never Lie : A Totally Gripping Thriller with Mind-bending Twists,376,4.3,"2,43,774",376
The Housemaid : An addictive psychological thriller with mind-bending twists,338,4.4,"4,78,763",338
Attitude is Everything change your attitude change your life!,146,4.5,"25,972",146
I Hear You: Most expectant mothers talk to their unborn. But what if the unborn starts to respond? | A psychological thriller with jaw-dropping twists.,150,4.4,556,150
Meditations,119,4.3,"3,707",119
Stop Overthinking 23 Techniques to Relieve Stress Stop Negative Spirals Declutter Your Mind and Focus on the Present,169,4.3,"12,306",169
How to Kill Men and Get Away With It: A deliciously dark,319,4,"6,634",319
One Day,179,4.4,"3,059",179
Leadership and Management Strategy Collection - The Prince,399,4.4,71,399
Dark Psychology and Manipulation: Dark Psychology and Manipulation: Discover 40 Covert Emotional Manipulation Techniques,1786,4.3,"1,210",1786
The Overthinking Cure: How To Stay In The Present,203,4.2,357,203
The Unknown Woman (An Aria Brandt Psychological Thriller—Book One),308,3.9,694,0
Don't Believe Everything You Think (English),190,4.5,"11,076",190
Dark Psychology Secrets & Manipulation,169,4.2,902,169
The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback,149,4.5,"50,561",149
Psychopathology of Everyday Life by Sigmund Freud [Premium Paperback] Introduction to Psychology | Discover the Power of Subconscious Mind | Human Psychology Books | Author of Interpretation of Dreams,159,4.8,45,159
Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,195,4.4,"14,174",195
Psychological Triggers: The Hidden Influences Behind Our Actions,280,4.4,505,280
Metamorphosis by Franz Kafka [Premium Paperback]: An Unsettling Exploration of Identity and Alienation | Existential Literature |Classic Literature| Psychological Fiction| Metaphorical Allegory,99,4.4,455,99
101 Essays That Will Change The Way You Think (English),361,4.3,"17,163",361
Beyond Good And Evil,169,4.4,"4,890",169
The Psychology of Money,270,4.6,"72,270",270
Never Lie : A Totally Gripping Thriller with Mind-bending Twists,376,4.3,"2,43,774",376
The Housemaid : An addictive psychological thriller with mind-bending twists,338,4.4,"4,78,763",338
I Hear You: Most expectant mothers talk to their unborn. But what if the unborn starts to respond? | A psychological thriller with jaw-dropping twists.,150,4.4,556,150
Attitude is Everything change your attitude change your life!,146,4.5,"25,972",146
Meditations,119,4.3,"3,707",119
Stop Overthinking 23 Techniques to Relieve Stress Stop Negative Spirals Declutter Your Mind and Focus on the Present,169,4.3,"12,306",169
How to Kill Men and Get Away With It: A deliciously dark,319,4,"6,634",319
The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery (English),251,4.4,"22,470",251
The Power of Emotional Marketing - Brands That Resonate by Bhuvana Subramanyan | 40+ Exclusive Marketing Tools & Templates | 100+ Real-World Case Studies & Examples | ZebraLearn Books,1490,4.2,19,1490
